                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                0.52697,                 2.3376,                0.32881,                0.46392,                 1.0864,                0.99877,                      1,                  0.995,                0.95081,                0.94834,                   0.95,                0.89877,                0.28925,                0.31429,                 2.5625,                0.11751,                0.37519,                0.93761,              0.0005348,              0.0005348,              0.0005348
                     76,                0.46921,                 2.2935,                0.39733,                0.44895,                 1.0537,                0.98743,                      1,                  0.995,                0.95874,                0.93806,                   0.95,                0.91626,                  0.347,                0.31387,                 2.4397,                 0.1402,                0.37009,                0.94109,               0.000515,               0.000515,               0.000515
                     77,                0.42259,                 2.1032,                0.37615,                0.40833,                 1.0124,                0.94725,                      1,                0.99262,                0.95214,                0.89942,                   0.95,                0.91001,                0.35238,                0.29968,                 2.4286,                0.13327,                0.37147,                0.93676,              0.0004952,              0.0004952,              0.0004952
                     78,                0.52814,                 2.3219,                0.39033,                0.46112,                 1.1057,                      1,                0.94741,                0.99262,                0.94847,                0.89453,                0.84821,                0.82346,                0.35545,                0.30841,                 2.4425,                0.13321,                0.37732,                0.93936,              0.0004754,              0.0004754,              0.0004754
                     79,                0.47082,                 2.3497,                0.37626,                0.47765,                   1.06,                      1,                0.94591,                0.98848,                0.95128,                0.89434,                0.84659,                0.81979,                0.36408,                0.32186,                 2.4064,                0.14296,                0.38885,                 0.9439,              0.0004556,              0.0004556,              0.0004556
                     80,                0.48164,                 1.8356,                0.33117,                0.46522,                 1.0609,                 0.9463,                   0.95,                  0.975,                0.92897,                0.89618,                    0.9,                0.88831,                0.37637,                0.35083,                 2.3313,                0.16022,                0.46115,                0.96027,              0.0004358,              0.0004358,              0.0004358
                     81,                0.47062,                 2.3274,                0.31709,                0.45908,                 1.0803,                0.90281,                   0.95,                0.96476,                0.92315,                0.85508,                    0.9,                0.87598,                 0.3651,                0.34632,                 2.3626,                0.17984,                0.46547,                0.95439,               0.000416,               0.000416,               0.000416
                     82,                0.43862,                 2.2357,                0.34908,                0.43418,                 1.0246,                0.90192,                   0.95,                 0.9708,                0.89718,                0.85424,                    0.9,                0.87961,                0.37723,                0.33114,                 2.3763,                0.16594,                0.42845,                0.94797,              0.0003962,              0.0003962,              0.0003962
                     83,                0.45282,                 2.3899,                0.33929,                0.43994,                 1.0654,                0.94993,                0.94874,                0.98795,                0.95033,                0.89992,                0.89921,                0.89317,                0.36984,                0.31682,                 2.3814,                0.14721,                 0.3919,                0.93808,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.5384,                 2.1562,                0.33472,                0.51723,                 1.1135,                0.99752,                      1,                  0.995,                0.96613,                0.94738,                   0.95,                0.91697,                0.38976,                0.29331,                 2.3384,                0.13315,                0.31754,                0.91211,              0.0003566,              0.0003566,              0.0003566
                     85,                0.45891,                  2.249,                0.31075,                0.41308,                  1.067,                0.99685,                      1,                  0.995,                0.96629,                 0.8969,                    0.9,                0.84391,                0.38112,                0.31722,                 2.3194,                0.15545,                0.30056,                0.92302,              0.0003368,              0.0003368,              0.0003368
                     86,                0.43164,                 2.3151,                0.33906,                0.41032,                 1.0214,                  0.997,                      1,                  0.995,                0.96531,                0.89715,                    0.9,                0.84368,                0.37574,                0.30349,                  2.354,                0.19259,                0.30877,                0.91347,               0.000317,               0.000317,               0.000317
                     87,                0.41089,                  2.415,                 0.3863,                0.41032,                  1.023,                0.99688,                      1,                  0.995,                0.97401,                 0.8972,                    0.9,                0.83854,                0.36977,                0.27732,                 2.3715,                0.19941,                0.30392,                 0.8996,              0.0002972,              0.0002972,              0.0002972
                     88,                0.48943,                 2.4171,                0.35833,                0.49004,                 1.1027,                0.99686,                      1,                  0.995,                0.98316,                0.89711,                    0.9,                 0.8384,                0.35946,                0.26736,                 2.3864,                0.16281,                0.28972,                0.89474,              0.0002774,              0.0002774,              0.0002774
                     89,                0.41822,                 2.1923,                0.33537,                0.38431,                 1.0091,                0.99673,                      1,                  0.995,                0.98286,                0.89699,                    0.9,                0.83834,                0.35226,                0.26389,                 2.4025,                0.13993,                0.28229,                0.89253,              0.0002576,              0.0002576,              0.0002576
                     90,                0.35074,                 2.1935,                0.33065,                0.37901,                0.96767,                0.99684,                      1,                  0.995,                0.98288,                0.89709,                    0.9,                0.83346,                0.35275,                0.25608,                 2.4073,                0.12188,                0.27593,                0.88926,              0.0002378,              0.0002378,              0.0002378
                     91,                0.28381,                 2.4174,                0.25562,                0.35362,                0.94323,                0.99693,                      1,                  0.995,                0.98995,                0.89718,                    0.9,                 0.8335,                0.35171,                 0.2438,                 2.3933,                0.10631,                0.26577,                0.88395,               0.000218,               0.000218,               0.000218
                     92,                0.28337,                 2.2765,                0.22819,                0.32143,                0.90241,                0.99718,                      1,                  0.995,                0.99023,                0.89746,                    0.9,                0.84402,                0.37227,                0.22885,                 2.3993,                0.07642,                0.26373,                0.87863,              0.0001982,              0.0001982,              0.0001982
                     93,                0.27514,                 2.4109,                0.15172,                0.29975,                0.86698,                 0.9973,                      1,                  0.995,                0.99001,                0.89757,                    0.9,                0.83954,                0.36356,                0.21856,                   2.39,                  0.066,                0.26475,                0.87549,              0.0001784,              0.0001784,              0.0001784
                     94,                0.24645,                 2.2931,                0.18716,                0.27231,                0.90086,                0.99735,                      1,                  0.995,                0.98222,                0.89762,                    0.9,                0.85503,                0.36789,                 0.2127,                 2.4046,                0.05778,                0.26669,                0.87588,              0.0001586,              0.0001586,              0.0001586
